1476810196216
roomid, result, ctime, time,
1476810196216,找个太客气了 ,1566057600.423,2019-08-18 00:00:00,
1476810196216,我还客气了 ,1566057603.370,2019-08-18 00:00:03,
1476810196216,来 ,1566057606.950,2019-08-18 00:00:06,
1476810196216,我打过来 ,1566057609.614,2019-08-18 00:00:09,
1476810196216,嗯 ,1566057612.848,2019-08-18 00:00:12,
1476810196216,叶哥我就是 ,1566057616.229,2019-08-18 00:00:16,
1476810196216,去学习 ,1566057619.282,2019-08-18 00:00:19,
1476810196216,我说实话啊我说实话这个呢 ,1566057622.918,2019-08-18 00:00:22,
1476810196216,第一次司机第一次自己我要 ,1566057625.705,2019-08-18 00:00:25,
1476810196216,裤裆里的话那我要比巴萨真的 ,1566057629.009,2019-08-18 00:00:29,
1476810196216,那你爷爷做了 ,1566057632.471,2019-08-18 00:00:32,
1476810196216,是不是你自己快来快点你说你 ,1566057635.271,2019-08-18 00:00:35,
1476810196216,一直刺激我不让你怎么走啊 ,1566057638.295,2019-08-18 00:00:38,
1476810196216,还行学习也必须得安排 ,1566057641.844,2019-08-18 00:00:41,
1476810196216,去吧 ,1566057645.054,2019-08-18 00:00:45,
1476810196216,哦 ,1566057648.404,2019-08-18 00:00:48,
1476810196216,强哥送来的 ,1566057651.482,2019-08-18 00:00:51,
1476810196216,西梅桂恒福来 ,1566057654.643,2019-08-18 00:00:54,
1476810196216,人渣 ,1566057657.737,2019-08-18 00:00:57,
1476810196216,我说 ,1566057660.824,2019-08-18 00:01:00,
1476810196216,这是说实话呢那个 ,1566057663.914,2019-08-18 00:01:03,
1476810196216,嗯嗯 ,1566057667.369,2019-08-18 00:01:07,
1476810196216,的性格呢也非常支持我非常支持我 ,1566057670.741,2019-08-18 00:01:10,
1476810196216,句号哥在帮我收它自己会呢 ,1566057673.918,2019-08-18 00:01:13,
1476810196216,赔死了怎么啊 ,1566057676.913,2019-08-18 00:01:16,
1476810196216,支持我啊但是呢我一看 ,1566057679.985,2019-08-18 00:01:19,
1476810196216,我脚够大鹏桑拿了再过来 ,1566057683.343,2019-08-18 00:01:23,
1476810196216,大白好想被打 ,1566057686.540,2019-08-18 00:01:26,
1476810196216,说实话啊 ,1566057690.002,2019-08-18 00:01:30,
1476810196216,嗯 ,1566057692.896,2019-08-18 00:01:32,
1476810196216,哦 ,1566057696.240,2019-08-18 00:01:36,
1476810196216,嗯 ,1566057699.387,2019-08-18 00:01:39,
1476810196216,大哥你现在在哪里啊 ,1566057702.420,2019-08-18 00:01:42,
1476810196216,在哪里咯啊 ,1566057705.834,2019-08-18 00:01:45,
1476810196216,不让我们骂死你对啊等下我 ,1566057708.993,2019-08-18 00:01:48,
1476810196216,我怕你妈呀大哥 ,1566057712.553,2019-08-18 00:01:52,
1476810196216,是吧我在家诶哦对哦 ,1566057715.535,2019-08-18 00:01:55,
1476810196216,不能说老婆不在家哼 ,1566057719.149,2019-08-18 00:01:59,
1476810196216,红装可以 ,1566057722.066,2019-08-18 00:02:02,
1476810196216,尽情的玩耍了是这么回事知不道 ,1566057725.187,2019-08-18 00:02:05,
1476810196216,想怎么玩就怎么玩了 ,1566057728.206,2019-08-18 00:02:08,
1476810196216,哎 ,1566057731.663,2019-08-18 00:02:11,
1476810196216,我找个来我直播间是太少 ,1566057734.735,2019-08-18 00:02:14,
1476810196216,没有直接每天晚上必须得 ,1566057738.098,2019-08-18 00:02:18,
1476810196216,去回去就不能玩了上一次他 ,1566057741.001,2019-08-18 00:02:21,
1476810196216,我这里刷的两个横幅哎实在 ,1566057743.920,2019-08-18 00:02:23,
1476810196216,没有时间就刚好回去的路上一看 ,1566057747.392,2019-08-18 00:02:27,
1476810196216,这个上铺了哎刷你聊行不瞎了 ,1566057751.095,2019-08-18 00:02:31,
1476810196216,嗯 ,1566057753.934,2019-08-18 00:02:33,
1476810196216,嘿 ,1566057756.908,2019-08-18 00:02:36,
1476810196216,咋了 ,1566057759.940,2019-08-18 00:02:39,
1476810196216,我给我 ,1566057763.641,2019-08-18 00:02:43,
1476810196216,哦 ,1566057766.742,2019-08-18 00:02:46,
1476810196216,嗯 ,1566057770.035,2019-08-18 00:02:50,
1476810196216,大哥我采访一下你自己什么感觉 ,1566057772.988,2019-08-18 00:02:52,
1476810196216,那我去冰箱里 ,1566057775.968,2019-08-18 00:02:55,
1476810196216,不让你去 ,1566057779.424,2019-08-18 00:02:59,
1476810196216,那你直播结果我去了 ,1566057782.621,2019-08-18 00:03:02,
1476810196216,你卡了结果去了 ,1566057786.079,2019-08-18 00:03:06,
1476810196216,不是让你到冰箱里怎么你也去 ,1566057789.108,2019-08-18 00:03:09,
1476810196216,啊 ,1566057792.636,2019-08-18 00:03:12,
1476810196216,叫你直播也行 ,1566057795.534,2019-08-18 00:03:15,
1476810196216,啊 ,1566057798.702,2019-08-18 00:03:18,
1476810196216,乐视吧啊我告诉你手机发热了 ,1566057802.263,2019-08-18 00:03:22,
1476810196216,没有办法的事没有办法的我 ,1566057805.363,2019-08-18 00:03:25,
1476810196216,你也发烫啊是没有办法避免的 ,1566057808.199,2019-08-18 00:03:28,
1476810196216,姜文不是哈哈我告诉你啊 ,1566057811.668,2019-08-18 00:03:31,
1476810196216,你要是说降温的话你把她供着打 ,1566057814.441,2019-08-18 00:03:34,
1476810196216,最低然后你到手价就不是很胖的 ,1566057818.279,2019-08-18 00:03:38,
1476810196216,你手机不是很大吗最好 ,1566057821.074,2019-08-18 00:03:41,
1476810196216,开个飞行模式然后呢我也 ,1566057824.112,2019-08-18 00:03:44,
1476810196216,这样的话就不是很疼我教你个方法 ,1566057827.550,2019-08-18 00:03:47,
1476810196216,你把他开个飞行模式 ,1566057830.753,2019-08-18 00:03:50,
1476810196216,然后在年年我也烦这样的话就不是很 ,1566057834.184,2019-08-18 00:03:54,
1476810196216,你都不用自己去剥的话那真的很胖 ,1566057837.083,2019-08-18 00:03:57,
1476810196216,嗯 ,1566057840.622,2019-08-18 00:04:00,
1476810196216,你 ,1566057843.924,2019-08-18 00:04:03,
1476810196216,,1566057846.874,2019-08-18 00:04:06,
1476810196216,哥要什什什什酒了 ,1566057849.978,2019-08-18 00:04:09,
